_class_name,_created_at,_object_id,_updated_at,sensorName
Sensor,2014-05-23T18:30:19.851Z,1k3VsAqGLv,2014-05-23T18:30:19.851Z,s35
Sensor,2014-05-23T18:30:22.412Z,M3JxQQtwje,2014-05-23T18:30:22.412Z,s36
Sensor,2014-05-23T18:30:26.756Z,ZYWSHY2UQY,2014-05-23T18:30:26.756Z,s37
Sensor,2014-05-23T18:30:30.116Z,oI9kUlBsI9,2014-05-23T18:30:30.116Z,s38
Sensor,2014-05-23T18:30:34.429Z,hxWD81Non5,2014-05-23T18:30:34.429Z,s39
Sensor,2014-06-26T19:05:56.125Z,H4cHyz7EzR,2014-06-26T19:05:56.125Z,s28
Sensor,2014-07-16T17:20:03.686Z,VRNIHznHlR,2014-07-16T17:20:03.686Z,s25
Sensor,2014-07-18T12:12:34.121Z,fcjY3AfCUd,2014-07-18T12:12:40.134Z,s29
Sensor,2014-08-12T18:50:54.033Z,zFFmDfY8Nv,2014-08-12T18:50:54.033Z,s10
Sensor,2014-08-23T14:53:08.832Z,0WjvmTbphQ,2014-08-23T14:53:08.832Z,RC30
Sensor,2014-09-05T15:29:55.336Z,uF9d1WTXU9,2014-09-05T15:29:55.336Z,s5
