_class_name,_created_at,_object_id,_updated_at,airportLocation,airportName,iata,icao
Airport,2013-04-02T15:09:54.173Z,qBi9NgdSjj,2013-04-02T15:09:54.173Z,"Rockhampton, Queensland",Williamson Airfield,,YWIS
Airport,2013-04-02T15:09:54.187Z,CYe9aRY33A,2013-04-02T15:09:54.187Z,"Warracknabeal, Victoria",Warracknabeal Airport,WKB,YWKB
Airport,2013-04-02T15:09:54.202Z,UGySc9iF4J,2013-04-02T15:09:54.202Z,"Waikerie, South Australia",Waikerie Airport,,YWKI
Airport,2013-04-02T15:09:54.221Z,xiruJSkLl6,2013-04-02T15:09:54.221Z,"Wilkes Land, Antarctica",Wilkins Runway,,YWKS
Airport,2013-04-02T15:09:54.236Z,QXVqGlR8oE,2013-04-02T15:09:54.236Z,"Walgett, New South Wales",Walgett Airport,WGE,YWLG
Airport,2013-04-02T15:09:54.250Z,SRZnk9Dcg4,2013-04-02T15:09:54.250Z,"Newcastle, New South Wales",Newcastle - Williamtown Airport / RAAF Williamtown (joint use),NTL,YWLM
Airport,2013-04-02T15:09:54.265Z,VOuqbP2mzs,2013-04-02T15:09:54.265Z,"Wiluna, Western Australia",Wiluna Airport,WUN,YWLU
Airport,2013-04-02T15:09:54.280Z,UJg4yYwvm8,2013-04-02T15:09:54.280Z,"Wollongong, New South Wales",Illawarra Regional Airport,WOL,YWOL
Airport,2013-04-02T15:09:54.294Z,GR0GqIajyg,2013-04-02T15:09:54.294Z,None,Wollogorang Airport,WLL,YWOR
Airport,2013-04-02T15:09:54.309Z,sp7ebpO8dC,2013-04-02T15:09:54.309Z,"Warren, New South Wales",Warren Airport,QRR,YWRN
Airport,2013-04-02T15:09:54.329Z,zJKP2Yqc8K,2013-04-02T15:09:54.329Z,"Watts Bridge, Queensland",Watts Bridge Memorial Airfield,,YWSG
Airport,2013-04-02T15:09:54.344Z,gPtzeTKmys,2013-04-02T15:09:54.344Z,"Sale, Victoria",West Sale Airport,,YWSL
Airport,2013-04-02T15:09:54.359Z,IhRFG5yS0U,2013-04-02T15:09:54.359Z,None,Waterloo Airport (Australia),WLO,YWTL
Airport,2013-04-02T15:09:54.374Z,NcRLYlZ39b,2013-04-02T15:09:54.374Z,"Winton, Queensland",Winton Airport,WIN,YWTN
Airport,2013-04-02T15:09:54.389Z,PFuzwByO3K,2013-04-02T15:09:54.389Z,"Wudinna, South Australia",Wudinna Airport,WUD,YWUD
Airport,2013-04-02T15:09:54.403Z,36iecNFZ1a,2013-04-02T15:09:54.403Z,"Warnervale, New South Wales",Warnervale Airport,WVA,YWVA
Airport,2013-04-02T15:09:54.591Z,TZ1YnNH2zm,2013-04-02T15:09:54.591Z,"West Wyalong, New South Wales",West Wyalong Airport,WWY,YWWL
Airport,2013-04-02T15:09:54.614Z,pvcCMftoOo,2013-04-02T15:09:54.614Z,"Wyndham, Western Australia",Wyndham Airport,WYN,YWYM
Airport,2013-04-02T15:09:54.630Z,lcsnPpMdSm,2013-04-02T15:09:54.630Z,"Wynyard, Tasmania",Burnie Airport,BWT,YWYY
Airport,2013-04-02T15:09:54.645Z,bgsRCbztaY,2013-04-02T15:09:54.645Z,None,Yalgoo Airport,YLG,YYAL
